名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
ALIEN密室逃脱(松岗店),体育休闲服务,娱乐场所,娱乐场所,松明大道171号2楼康裕写字楼旁,广东省,深圳市,宝安区,113.8286888,22.76831529
鸿康休闲会所,体育休闲服务,娱乐场所,娱乐场所,沙井街道永辉超市斜对面,广东省,深圳市,宝安区,113.8270172,22.76888696
微吧酒吧(松岗店),体育休闲服务,娱乐场所,酒吧,松岗街道署光路松盛大厦1层(中国银行前100米),广东省,深圳市,宝安区,113.8398122,22.76806681
广乐纯K新概念KTV(东方路),体育休闲服务,娱乐场所,KTV,东方大道喜港城3楼,广东省,深圳市,宝安区,113.8384467,22.76748855
悠闲阁会所,体育休闲服务,娱乐场所,KTV|生活服务,松岗镇暑光路6号,广东省,深圳市,宝安区,113.8394142,22.76756326
K立方量贩式KTV,体育休闲服务,娱乐场所,KTV,立业路8-1号3层,广东省,深圳市,宝安区,113.849196,22.76590954
Sunday时尚KTV(松岗店),体育休闲服务,娱乐场所,KTV,松岗街道松岗大道31号,广东省,深圳市,宝安区,113.8543805,22.76159605
好朋友商务会所,体育休闲服务,娱乐场所,娱乐场所,立业路4号兆丰祥商务大厦1层,广东省,深圳市,宝安区,113.8492271,22.76545873
百乐门夜总会(金开路),体育休闲服务,娱乐场所,夜总会,松岗街道楼岗大道63号,广东省,深圳市,宝安区,113.8473042,22.76781581
魅力纯K音乐会所(松岗店),体育休闲服务,娱乐场所,KTV,松岗街道楼岗社区楼岗大道48号B栋三楼(义乌商业城旁),广东省,深圳市,宝安区,113.8533898,22.76878724
好声音量贩式KTV(零点店),体育休闲服务,娱乐场所,KTV,松岗大道宝利来商业大楼(华神火锅楼上),广东省,深圳市,宝安区,113.8481363,22.76738133
ZEROSKTV,体育休闲服务,娱乐场所,KTV,宝利来步行街1号附近,广东省,深圳市,宝安区,113.8479188,22.76717904
暮色音乐酒吧,体育休闲服务,娱乐场所,酒吧,松岗街道楼岗社区楼岗大道48号C栋1楼西侧,广东省,深圳市,宝安区,113.8527513,22.76895521
单身交友,体育休闲服务,娱乐场所,酒吧,楼岗大道114号附近,广东省,深圳市,宝安区,113.8481683,22.76784523
影乐迪KTV,体育休闲服务,娱乐场所,KTV,松岗大道集信大厦3楼万华国际酒店正对面,广东省,深圳市,宝安区,113.8475678,22.76838707
万华公寓KTV,体育休闲服务,娱乐场所,KTV,松岗镇,广东省,深圳市,宝安区,113.8475678,22.76838707
万华国际大酒店-大堂吧,体育休闲服务,娱乐场所,酒吧,松岗镇楼岗大道63号万华国际大酒店1楼,广东省,深圳市,宝安区,113.8470857,22.76773248
第一次清吧,体育休闲服务,娱乐场所,酒吧,宝利来步行街9号(牛状元隔壁),广东省,深圳市,宝安区,113.8482737,22.76573908
中老年棋牌娱乐中心,体育休闲服务,娱乐场所,娱乐场所,楼岗大道35-1号,广东省,深圳市,宝安区,113.8517048,22.76839075
乐酷网吧桌球棋牌室,体育休闲服务,娱乐场所,娱乐场所,松岗街道楼岗集信大厦裙楼二楼(真功夫楼上),广东省,深圳市,宝安区,113.8477422,22.76844034
金帝都国际俱乐部,体育休闲服务,娱乐场所,娱乐场所,松岗街道松岗大道与东方大道交汇处金帝都酒店6楼,广东省,深圳市,宝安区,113.854174,22.76199761
乐酷娱乐城,体育休闲服务,娱乐场所,娱乐场所,松岗街道楼岗集信大厦裙楼二楼(真功夫楼上),广东省,深圳市,宝安区,113.8473372,22.76860861
新启点,体育休闲服务,娱乐场所,KTV,松岗街道楼岗大道集信大厦3楼,广东省,深圳市,宝安区,113.848077,22.76863383
蓝色星空音乐会所,体育休闲服务,娱乐场所,KTV,上石家路口附近,广东省,深圳市,宝安区,113.8905404,22.7652333
歌乐苑音乐会所,体育休闲服务,娱乐场所,KTV,将富北路11号,广东省,深圳市,宝安区,113.9043077,22.76622471
如意KTV(糖水店),体育休闲服务,娱乐场所,KTV,公明新围路45号附近,广东省,深圳市,宝安区,113.9051529,22.76847469
星光大道,体育休闲服务,娱乐场所,KTV,光明新区光明大街208号,广东省,深圳市,宝安区,113.9337294,22.76952772
新海泉KTV,体育休闲服务,娱乐场所,KTV,光明大街与法政南路交叉口东南50米,广东省,深圳市,宝安区,113.9399344,22.76549617
天天纯K量贩式KTV,体育休闲服务,娱乐场所,KTV,光明新区光明街道河心南路正力时代广场四楼,广东省,深圳市,宝安区,113.9396659,22.7629045
靓声KTV(光明店),体育休闲服务,娱乐场所,KTV,光明新区光翠路10号光明广场5层,广东省,深圳市,宝安区,113.9384316,22.76137625
夜圈炭烧音乐吧,体育休闲服务,娱乐场所,酒吧,凤新路3253号附近,广东省,深圳市,宝安区,113.9455234,22.76799232
农场音乐清吧,体育休闲服务,娱乐场所,KTV,体育公园路9号附近,广东省,深圳市,宝安区,113.9504888,22.76157361
佳廷量贩KTV,体育休闲服务,娱乐场所,KTV,同心南路78-1号佳廷酒店2-3层,广东省,深圳市,龙岗区,114.3089232,22.76975278
吉之堡卡拉OK,体育休闲服务,娱乐场所,KTV,新丰路45号4层,广东省,深圳市,龙岗区,114.325892,22.76795129
隆利盛动漫,体育休闲服务,娱乐场所,娱乐场所,坑梓龙窝路60号研扬科技园,广东省,深圳市,坪山区,114.366244,22.76152252
乐怡休闲会所,体育休闲服务,娱乐场所,娱乐场所,福和阁2楼,广东省,深圳市,宝安区,113.7977939,22.75446935
儿童娱乐室,体育休闲服务,娱乐场所,娱乐场所,西环路附近,广东省,深圳市,宝安区,113.7976122,22.75787099
鑫城港休闲会所,体育休闲服务,娱乐场所,娱乐场所,步涌新村新和大道129号177号,广东省,深圳市,宝安区,113.8040881,22.76050218
金雨港休闲会所,体育休闲服务,娱乐场所,KTV,新和大道旁步涌市场对面,广东省,深圳市,宝安区,113.8115125,22.75688667
深圳市宝安区沙井时代酒吧,体育休闲服务,娱乐场所,酒吧,环镇路合家欢3层,广东省,深圳市,宝安区,113.8115436,22.75645186
前线慢摇吧,体育休闲服务,娱乐场所,酒吧,步涌工业路101号附近,广东省,深圳市,宝安区,113.8113611,22.75731426
新时吧酒吧,体育休闲服务,娱乐场所,酒吧,步涌市场,广东省,深圳市,宝安区,113.8119235,22.75746125
呼啦啦量贩式KTV(大埔路),体育休闲服务,娱乐场所,KTV,后亭良德酒店2-3楼,广东省,深圳市,宝安区,113.8161468,22.75631545
新时代俱乐部,体育休闲服务,娱乐场所,酒吧,新和大道沙井步涌合家欢购物广场三楼,广东省,深圳市,宝安区,113.8121772,22.75733175
悠闲殿休闲会所,体育休闲服务,娱乐场所,娱乐场所,沙井步涌村工业路1号(北环路水产加油站旁),广东省,深圳市,宝安区,113.8099075,22.75315788
东方魅力休闲会所,体育休闲服务,娱乐场所,娱乐场所,新和大道42号,广东省,深圳市,宝安区,113.8197767,22.75447184
歌乐迪量贩式KTV,体育休闲服务,娱乐场所,KTV,沙井街道第二工业区11号新宝市场3楼(后亭新宝市场三楼),广东省,深圳市,宝安区,113.8167674,22.75683545
极度酒吧(热舞派对),体育休闲服务,娱乐场所,酒吧,松瑞路2号,广东省,深圳市,宝安区,113.8324764,22.76003
极度KTV,体育休闲服务,娱乐场所,酒吧|体育休闲服务,松岗松瑞瑞路维也纳酒店首层,广东省,深圳市,宝安区,113.8324654,22.76001199
声悦汇KTV,体育休闲服务,娱乐场所,KTV,红星社区松瑞路3号2楼,广东省,深圳市,宝安区,113.8334069,22.76039461
帝皇宫,体育休闲服务,娱乐场所,娱乐场所,广深路松岗段37-2号,广东省,深圳市,宝安区,113.842813,22.75080451
极度酒吧(热舞派对),体育休闲服务,娱乐场所,酒吧,潭头一路3号,广东省,深圳市,宝安区,113.8365668,22.75152716
万华俱乐部,体育休闲服务,娱乐场所,娱乐场所,松裕路1号,广东省,深圳市,宝安区,113.8618012,22.75677209
畅爽量贩式KTV(区间路),体育休闲服务,娱乐场所,KTV,松岗松裕路4号,广东省,深圳市,宝安区,113.8600324,22.75750448
13月演艺吧,体育休闲服务,娱乐场所,KTV,公明办事处将石村周家路联防队公交站13,广东省,深圳市,宝安区,113.8942083,22.75595796
107音乐酒吧,体育休闲服务,娱乐场所,酒吧,公明街道塘尾社区高墩东路6号兴华商住大楼2层,广东省,深圳市,宝安区,113.9009092,22.7513892
