名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
心灵歌唱,体育休闲服务,体育休闲服务场所,体育休闲服务场所,后海滨路2013-42号附近,广东省,深圳市,南山区,113.933752,22.49204299
岭南会汇,体育休闲服务,体育休闲服务场所,体育休闲服务场所,后海滨路澳城花园酒店二楼,广东省,深圳市,南山区,113.9323384,22.49127424
习武者拳馆,体育休闲服务,运动场馆,运动场所,蛇口工业七路2号,广东省,深圳市,南山区,113.9281406,22.49950242
万茉孕妇&产后瑜伽中心,体育休闲服务,运动场馆,健身中心,蛇口新街后海滨路澳城花园一期B1栋9a,广东省,深圳市,南山区,113.9331726,22.49117592
浩哥篮球儿童运动训练营(蛇口总馆),体育休闲服务,体育休闲服务场所,体育休闲服务场所,工业七路2号,广东省,深圳市,南山区,113.9282596,22.49771727
妙荷瑜伽,体育休闲服务,运动场馆,健身中心,中心路1122号翡翠海岸北门(阳光海滨花园南门对面),广东省,深圳市,南山区,113.9357159,22.49200472
Dear瑜伽,体育休闲服务,运动场馆,健身中心,后海滨路阳光海滨花园120-121号,广东省,深圳市,南山区,113.9360734,22.49377311
凯伦菲勒·专业健身,体育休闲服务,运动场馆,健身中心,蛇口街道栖游记5栋102,广东省,深圳市,南山区,113.9282001,22.49103635
金载勲跆拳道场,体育休闲服务,运动场馆,跆拳道场馆,招商路中心路恒裕滨城一期132号,广东省,深圳市,南山区,113.9356727,22.4957348
奔跑健身,体育休闲服务,运动场馆,健身中心,蛇口街道阳光海滨花园(南门)阳光海滨花园南门对面,广东省,深圳市,南山区,113.935645,22.49212084
蛇口学校羽毛球馆,体育休闲服务,运动场馆,羽毛球场,蛇口花果路2号蛇口学校内,广东省,深圳市,南山区,113.9267481,22.49141532
天山技龙跆拳道(四海店),体育休闲服务,运动场馆,跆拳道场馆,桃园路金岸商业广场,广东省,深圳市,南山区,113.9266648,22.49740143
整合瑜伽普拉提培训中心,体育休闲服务,运动场馆,健身中心,支六路鸿威海怡湾,广东省,深圳市,南山区,113.9375935,22.49477946
奥林风健身(后海店),体育休闲服务,体育休闲服务场所,体育休闲服务场所,中心路鸿威海怡湾商业广场BABYCITY一楼103号铺(3号门),广东省,深圳市,南山区,113.9375228,22.49266958
气剑琴茶三道健身馆,体育休闲服务,运动场馆,健身中心,鸿威·海怡湾畔花园129号,广东省,深圳市,南山区,113.9379282,22.49394686
威佰德健身会馆(BABYCITY),体育休闲服务,运动场馆,健身中心,中心路1088号BABYCITYF1层,广东省,深圳市,南山区,113.9376666,22.49262133
正一道场(BABYCITY),体育休闲服务,体育休闲服务场所,体育休闲服务场所,中心路1088号BABYCITYF2层,广东省,深圳市,南山区,113.9374379,22.49232773
伍佰德健身会所,体育休闲服务,体育休闲服务场所,体育休闲服务场所,鸿威海怡湾商业广场,广东省,深圳市,南山区,113.9377975,22.49169009
东涌离岸风冲浪俱乐部,体育休闲服务,体育休闲服务场所,体育休闲服务场所,冲街318号附近,广东省,深圳市,龙岗区,114.5782357,22.49354511
活动小广场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,赤湾少帝路6号港湾生活小区F9栋活动中心,广东省,深圳市,南山区,113.8815814,22.48466896
华英港湾生活小区游泳池,体育休闲服务,体育休闲服务场所,体育休闲服务场所,华英路附近,广东省,深圳市,南山区,113.8825417,22.48477656
诺亚第健身总部,体育休闲服务,体育休闲服务场所,体育休闲服务场所,赤湾五路赤湾一号,广东省,深圳市,南山区,113.8856619,22.4812942
大南山公园篮球场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,沿山路附近,广东省,深圳市,南山区,113.9017123,22.48783257
鲸山综合体育场,体育休闲服务,运动场馆,运动场所,沿山路附近,广东省,深圳市,南山区,113.9051518,22.48458956
明华国际会议中心-保龄球室,体育休闲服务,运动场馆,保龄球馆,龟山路8号明华国际会议中心C座B2层,广东省,深圳市,南山区,113.906291,22.48767115
康乐健身中心,体育休闲服务,运动场馆,健身中心,龟山路8号明华国际会议中心B座2层,广东省,深圳市,南山区,113.906303,22.48777315
